id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,genericcolumn1,genericcolumn2,storageLocation,observerUid,processingStatus,duplicateQuantity,recordEnteredBy,dateEntered,dateLastModified,modified,sourcePrimaryKey-dbpk,recordId,references
109954,"University of Minnesota",,,PreservedSpecimen,,CtAP001,"A01JMZC1B, JMZC1B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC1B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP001,urn:uuid:9a2c12f6-a7fe-49ac-b136-9120eea0384d,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109954
109955,"University of Minnesota",,,PreservedSpecimen,,CtAP002,"A02JMZC2B, JMZC2B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC2B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP002,urn:uuid:d3378c79-0f5f-4214-a819-6d1ee5351cf1,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109955
109956,"University of Minnesota",,,PreservedSpecimen,,CtAP003,"A03JMZC3B, JMZC3B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC3B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP003,urn:uuid:df59b8fd-30f5-408c-850f-6bc65620ebf9,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109956
109957,"University of Minnesota",,,PreservedSpecimen,,CtAP004,"A04JMZC4B, JMZC4B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC4B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP004,urn:uuid:c97ac973-f19c-4c6b-97e6-8b99ecf94fcb,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109957
109958,"University of Minnesota",,,PreservedSpecimen,,CtAP005,"A05JMZC5B, JMZC5B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC5B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP005,urn:uuid:eb181efe-97b7-4770-ad87-a62055969da5,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109958
109959,"University of Minnesota",,,PreservedSpecimen,,CtAP006,"A06JMZC6B, JMZC6B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC6B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP006,urn:uuid:d18de836-ea39-418c-afcb-be85967bf983,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109959
109960,"University of Minnesota",,,PreservedSpecimen,,CtAP007,"A07JMZC7B, JMZC7B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC7B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP007,urn:uuid:fa2751eb-3cc7-4be4-888b-338b98092472,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109960
109961,"University of Minnesota",,,PreservedSpecimen,,CtAP008,"A08JMZC8B, KMZC8B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC8B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP008,urn:uuid:48579ed4-5e45-41ed-bed6-26fc907a301f,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109961
109962,"University of Minnesota",,,PreservedSpecimen,,CtAP009,"A09JMZC9B, JMZC9B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC9B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP009,urn:uuid:5223cac1-b29c-4611-896d-e7e5c7981c26,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109962
109963,"University of Minnesota",,,PreservedSpecimen,,CtAP010,"A10JMZC10B, JMZC10B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC10B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP010,urn:uuid:3f15ad55-035a-4b40-b653-a650c403d3ae,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109963
